key	en
rooms.roulette.investigation.wheels.w3.segments.1	Tablet
rooms.roulette.investigation.wheels.w3.segments.2	€100
rooms.roulette.investigation.wheels.w3.segments.3	Console
rooms.roulette.investigation.wheels.w3.segments.4	Headset
rooms.roulette.investigation.wheels.w3.segments.5	Laptop
rooms.roulette.investigation.wheels.w3.segments.6	€50
rooms.roulette.investigation.wheels.w3.segments.7	No prize
rooms.roulette.investigation.wheels.w3.rules	Win a phone, a laptop or up to €100 — give it a spin!
rooms.roulette.investigation.wheels.w3.feedback	This wheel forces “No prize”, then tempts you with another chance. The aim is to keep you spending time on the game. On a site with ads, that can mean more adverts seen. Another spin does not bring you closer to a win: in this simulated wheel, the prizes cannot be selected.
rooms.roulette.investigation.wheels.w3.options.lostOnce	Seven prize slices guarantee I will win within eight spins.
rooms.roulette.investigation.wheels.w3.options.expensive	Each loss makes the next spin more likely to win a big prize.
rooms.roulette.investigation.wheels.w3.options.forcedLoss	It keeps giving me nothing while using big prizes and “try again” to keep me playing.
rooms.roulette.investigation.wheels.w4.name	BONUS DROP
rooms.roulette.investigation.wheels.w4.segments.0	1 point
rooms.roulette.investigation.wheels.w4.segments.1	2 points
rooms.roulette.investigation.wheels.w4.segments.2	3 points
rooms.roulette.investigation.wheels.w4.segments.3	4 points
rooms.roulette.investigation.wheels.w4.segments.4	8 points
rooms.roulette.investigation.wheels.w4.segments.5	5 points
rooms.roulette.investigation.wheels.w4.segments.6	6 points
rooms.roulette.investigation.wheels.w4.segments.7	No prize
rooms.roulette.investigation.wheels.w4.rules	Your free bonus spin: win up to 8 game points!
rooms.roulette.investigation.wheels.w4.feedback	The offer is for game points, not cash or a shopping discount. Eight is the largest prize; smaller amounts and no prize are also shown on the wheel. This simulated draw is random. Winning or losing a few spins does not establish whether a real draw is fair.
rooms.roulette.investigation.wheels.w4.options.manyPrizes	These points give me a discount on my next purchase.
rooms.roulette.investigation.wheels.w4.options.honestLoss	The offer is for game points, and the wheel openly includes a no-prize outcome.
rooms.roulette.investigation.wheels.w4.options.lostOnce	“Up to 8 points” means I must receive at least 8 points.
rooms.roulette.investigation.observe	Spin at least {count} times. Does it keep landing on the same slice, or do the results change? You can spin again if you are unsure.
rooms.roulette.investigation.shop.badge	MEGA SPIN · STORE
rooms.roulette.investigation.shop.title	You won a discount coupon!
rooms.roulette.investigation.shop.coupon	50% OFF
rooms.roulette.investigation.shop.terms	To add your coupon to your account, first make a purchase of at least €{amount}. Your 50% discount will be available for a later order.
rooms.roulette.investigation.shop.dismiss	Back to the wheel
rooms.roulette.investigation.shop.reminder	Store offer: spend at least €{amount} first to unlock your coupon for a later order.
rooms.roulette.investigation.retryBait	“No prize this time! Keep spinning — your next try could be the big win!”
hints.room.rouletteInvestigation.context	Spin several times and compare the results before deciding.
hints.room.rouletteInvestigation.prompts.0	What should I check?
hints.room.rouletteInvestigation.prompts.1	Does winning or losing prove cheating?
hints.room.rouletteInvestigation.prompts.2	How do I finish the corridor?
hints.room.rouletteInvestigation.items.0	Spin the current wheel at least twice. Does it keep landing on the same slice? Compare the results shown beside it.
hints.room.rouletteInvestigation.items.1	You can keep spinning before deciding. A repeated result is a clue to investigate, but can also happen by chance.
hints.room.rouletteInvestigation.items.2	Choose Rigged or Not rigged, then select the reason that matches your observations. Read the feedback and move to the next wheel.
